symbol,name
NM,Navios Maritime Holdings Inc.
AX,"Axos Financial, Inc."
PD,"PagerDuty, Inc."
APLE,"Apple Hospitality REIT, Inc."
A,"Agilent Technologies, Inc."
SWI,SolarWinds Corporation
LKOH.ME,NK Lukoil PAO
HP,"Helmerich & Payne, Inc."
VNA.DE,Vonovia SE
ATEN,"A10 Networks, Inc."
IMU.DE,"ImmunoGen, Inc."
FB2A.DE,"Facebook, Inc."
BDT.DE,Bertrandt Aktiengesellschaft
FPMB.DE,Freeport-McMoRan Inc.
CEC.DE,Lyxor MSCI Eastern Europe ex Russia UCITS ETF Acc
ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG
GAZP.ME,Gazprom PAO
FBEN.DE,Fyber N.V.
IS8.DE,ifa systems AG
UPAB.DE,"United Parcel Service, Inc."
VBK.DE,VERBIO Vereinigte BioEnergie AG
HBM.DE,HORNBACH Baumarkt AG
AUD.DE,"Autodesk, Inc."
BLX,"Banco Latinoamericano de Comercio Exterior, S.A"
SBER.ME,Sberbank Rossii PAO
FRT,Federal Realty Investment Trust
HT,Hersha Hospitality Trust
FSD,First Trust High Income Long/Short Fund
HCXZ,"Hercules Capital, Inc."
HCXY,"Hercules Capital, Inc."
ACTV,LeaderShares Activist Leaders ETF
TWST,Twist Bioscience Corporation
SNDX,"Syndax Pharmaceuticals, Inc."
MDLX,Medley LLC SR NT 26
FARM,Farmer Bros. Co.
KB,KB Financial Group Inc.
BMA,Banco Macro S.A.
MDR,
USA,Liberty All-Star Equity Fund
KT,KT Corporation
IDXG,"Interpace Biosciences, Inc."
MDLQ,Medley LLC NT 24
COWN,Cowen Inc.
MCN,Madison Covered Call & Equity Strategy Fund
LH,Laboratory Corporation of America Holdings
MCR,MFS Charter Income Trust
MCV,Medley Capital Corporation SR NT 23
LN,LINE Corporation
MCX,Medley Capital Corporation 6.50 NT 013021
AMYT,Amryt Pharma plc
BJRI,"BJ's Restaurants, Inc."
OIA,Invesco Municipal Income Opportunities Trust
MS,Morgan Stanley
TDC,Teradata Corporation
MYI,"BlackRock MuniYield Quality Fund III, Inc."
TPOU.L,Third Point Investors Limited USD
MTN,"Vail Resorts, Inc."
BBBY,Bed Bath & Beyond Inc.
DFIN,"Donnelley Financial Solutions, Inc."
MTG,MGIC Investment Corporation
MFD,Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund
ETRN,Equitrans Midstream Corporation
FDEU,First Trust Dynamic Europe Equity Income Fund
ARTNA,Artesian Resources Corporation
MFG,"Mizuho Financial Group, Inc."
KBH,KB Home
MFM,MFS Municipal Income Trust
STZ.B,
PRGO,Perrigo Company plc
VFMO,Vanguard U.S. Momentum Factor ETF ETF Shares
CAT,Caterpillar Inc.
KMX,"CarMax, Inc."
MAT,"Mattel, Inc."
TGNA,TEGNA Inc.
CAH,"Cardinal Health, Inc."
GFF,Griffon Corporation
GIS,"General Mills, Inc."
DLPN,"Dolphin Entertainment, Inc."
MTD,Mettler-Toledo International Inc.
ECC,Eagle Point Credit Company Inc.
KOP,Koppers Holdings Inc.
PROS,"ProSight Global, Inc."
XHR,"Xenia Hotels & Resorts, Inc."
OSB,Norbord Inc.
EAT,"Brinker International, Inc."
GHC,Graham Holdings Company
MUS,"BlackRock MuniHoldings Quality Fund, Inc."
HALL,"Hallmark Financial Services, Inc."
EBF,"Ennis, Inc."
GCO,Genesco Inc.
GDL,The GDL Fund
MOD,Modine Manufacturing Company
GHG,GreenTree Hospitality Group Ltd.
CARS,"Cars.com, LLC"
EROS,Eros International PLC
ANTM,"Anthem, Inc."
VAR,"Varian Medical Systems, Inc."
WISH,ContextLogic Inc.
PLAN,"Anaplan, Inc."
OOMA,"Ooma, Inc."
PANW,"Palo Alto Networks, Inc."
OUT,Outfront Media Inc. (REIT)
ECL,Ecolab Inc.
BLK,"BlackRock, Inc."
VEEV,Veeva Systems Inc.
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund
BSCR,Invesco BulletShares 2027 Corporate Bond ETF
TISI,"Team, Inc."
DBI.AX,Dalrymple Bay Infrastructure Limited
MSI,"Motorola Solutions, Inc."
QUOT,Quotient Technology Inc.
GLW,Corning Incorporated
IR,Ingersoll Rand Inc.
UNVR,Univar Solutions Inc.
GIX,"GigCapital2, Inc."
CPRI,Capri Holdings Limited
HNDL,Strategy Shares Nasdaq 7 Handl Index ETF
UVXY,ProShares Ultra VIX Short-Term Futures ETF
XIN,"Xinyuan Real Estate Co., Ltd."
VAL,Valaris PLC
FRSX,Foresight Autonomous Holdings Ltd.
MYE,"Myers Industries, Inc."
MGNT.ME,Magnit PAO
EPRT,"Essential Properties Realty Trust, Inc."
MYD,"BlackRock MuniYield Fund, Inc."
CADE,Cadence Bancorporation
VOD,Vodafone Group Plc
MFO,"MFA Financial, Inc. SR NT 42"
MFV,MFS Special Value Trust
LMND,"Lemonade, Inc."
KROS,"Keros Therapeutics, Inc."
MGF,MFS Government Markets Income Trust
GMTA,GATX Corporation SR NT 2066
MGM,MGM Resorts International
MGP,MGM Growth Properties LLC
RIGL,"Rigel Pharmaceuticals, Inc."
SWBI,"Smith & Wesson Brands, Inc."
CDXC,ChromaDex Corporation
SPNV-UN,"Supernova Partners Acquisition Company, Inc."
EGOV,NIC Inc.
HUBG,"Hub Group, Inc."
NEWM,
KEM,KEMET Corporation
MIN,MFS Intermediate Income Trust
KEP,Korea Electric Power Corporation
BTO,John Hancock Financial Opportunities Fund
KEY,KeyCorp
IBA,"Industrias Bachoco, S.A.B. de C.V."
PACB,"Pacific Biosciences of California, Inc."
IBN,ICICI Bank Limited
KBWD,Invesco KBW High Dividend Yield Financial ETF
KFY,Korn Ferry
PTVCA,Protective Insurance Corporation
EIGI,"Endurance International Group Holdings, Inc."
ESS,"Essex Property Trust, Inc."
DT,"Dynatrace, Inc."
TV,"Grupo Televisa, S.A.B."
CUBI,"Customers Bancorp, Inc."
ENBA,Enbridge Inc. 6.375 SNT18 B 78
BWA,BorgWarner Inc.
ASIX,AdvanSix Inc.
QSR,Restaurant Brands International Inc.
MAC,The Macerich Company
IQV,IQVIA Holdings Inc.
PAGP,"Plains GP Holdings, L.P."
KIO,KKR Income Opportunities Fund
AIN,Albany International Corp.
MMT,MFS Multimarket Income Trust
CMP,"Compass Minerals International, Inc."
PBI,Pitney Bowes Inc.
PBH,Prestige Consumer Healthcare Inc.
IGT,International Game Technology PLC
FPI,Farmland Partners Inc.
TPC,Tutor Perini Corporation
KEG,
ITCB,Ita�� Corpbanca
VICI,VICI Properties Inc.
NEA,Nuveen AMT-Free Quality Municipal Income Fund
AAP,"Advance Auto Parts, Inc."
SNUG,Alpha Architect Merlyn.AI Tactical Growth and Income ETF
MAXNV,"Maxeon Solar Technologies, Ltd."
NWFL,Norwood Financial Corp.
MIRM,"Mirum Pharmaceuticals, Inc."
SSTK,"Shutterstock, Inc."
TK,Teekay Corporation
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
GWW,"W.W. Grainger, Inc."
AMBC,"Ambac Financial Group, Inc."
RRTS,"Roadrunner Transportation Systems, Inc."
VMC,Vulcan Materials Company
FF,FutureFuel Corp.
LDSF,First Trust Low Duration Strategic Focus ETF
SNA,Snap-on Incorporated
COR,CoreSite Realty Corporation
CLPR,Clipper Realty Inc.
EPD,Enterprise Products Partners L.P.
AAN,"The Aaron's Company, Inc."
MZA,"BlackRock MuniYield Arizona Fund, Inc."
GNL,"Global Net Lease, Inc."
LOAC,Longevity Acquisition Corporation
CPB,Campbell Soup Company
CERC,Cerecor Inc.
GTS,Triple-S Management Corporation
TIF,Tiffany & Co.
TPH,"TRI Pointe Group, Inc."
BLUWU,Blue Water Acquisition Corp.
AXAS,Abraxas Petroleum Corporation
BF.B,
HUM,Humana Inc.
BITA,Bitauto Holdings Limited
AIV,Apartment Investment and Management Company
BKD,Brookdale Senior Living Inc.
PEN,"Penumbra, Inc."
IMAX,IMAX Corporation
GPC,Genuine Parts Company
CPA,"Copa Holdings, S.A."
CMS,CMS Energy Corporation
ACA,"Arcosa, Inc."
FTI,TechnipFMC plc
UHS,"Universal Health Services, Inc."
WYND,"Wyndham Destinations, Inc."
ESBA,"Empire State Realty OP, L.P."
GWB,"Great Western Bancorp, Inc."
RMD,ResMed Inc.
CULP,"Culp, Inc."
XYL,Xylem Inc.
IHG,InterContinental Hotels Group PLC
VBF,Invesco Bond Fund
EAB,"Entergy Arkansas, Inc. 1MTG BD 52"
EAE,"Entergy Arkansas, Inc. 1STMTG BD4.75%63"
EAI,"Entergy Arkansas, Inc. 1M BD 4.875%66"
IIM,Invesco Value Municipal Income Trust
GER,Goldman Sachs MLP and Energy Renaissance Fund
VCV,Invesco California Value Municipal Income Trust
GFI,Gold Fields Limited
PACQ,Pure Acquisition Corp.
MSB,Mesabi Trust
GGB,Gerdau S.A.
GCBC,"Greene County Bancorp, Inc."
GGM,Guggenheim Credit Allocation Fund
RP,"RealPage, Inc."
YNDX,Yandex N.V.
NRUC,National Rural Utilities Cooper
WEYS,"Weyco Group, Inc."
HRMY,"Harmony Biosciences Holdings, Inc."
VICR,Vicor Corporation
MTL,Mechel PAO
MTR,Mesa Royalty Trust
FSFG,"First Savings Financial Group, Inc."
REM,iShares Mortgage Real Estate Capped ETF
ATI,Allegheny Technologies Incorporated
SYKE,"Sykes Enterprises, Incorporated"
ENIC,Enel Chile S.A.
IRET,Investors Real Estate Trust
ATO,Atmos Energy Corporation
VGM,Invesco Trust for Investment Grade Municipals
GPJA,Georgia Power Company 5% JR SUB NT 77
KRG,Kite Realty Group Trust
KOPN,Kopin Corporation
ING,ING Groep N.V.
MVO,MV Oil Trust
PRU,"Prudential Financial, Inc."
BOWX,BowX Acquisition Corp.
SUPV,Grupo Supervielle S.A.
EXP,Eagle Materials Inc.
DDD,3D Systems Corporation
CRNT,Ceragon Networks Ltd.
ATV,"Acorn International, Inc."
KSU,Kansas City Southern
GDI,Ingersoll Rand Inc.
MOSC,
WAT,Waters Corporation
ECA,
GIG,
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A."
CBO,
CXP,"Columbia Property Trust, Inc."
CBX,
FLIA,Franklin Liberty International Aggregate Bond ETF
NPO,"EnPro Industries, Inc."
JELD,"JELD-WEN Holding, Inc."
ACCD,"Accolade, Inc."
PRA,ProAssurance Corporation
LPX,Louisiana-Pacific Corporation
DESP,"Despegar.com, Corp."
LUB,"Luby's, Inc."
CNET,ZW Data Action Technologies Inc.
CXO,Concho Resources Inc.
FBC,"Flagstar Bancorp, Inc."
PVH,PVH Corp.
FBM,"Foundation Building Materials, Inc."
GDDY,GoDaddy Inc.
AWF,AllianceBernstein Global High Income Fund
DDS,"Dillard's, Inc."
CPE,Callon Petroleum Company
CPIX,Cumberland Pharmaceuticals Inc.
RVI,Retail Value Inc.
SCM,Stellus Capital Investment Corporation
HFC,HollyFrontier Corporation
GHL,"Greenhill & Co., Inc."
AWK,"American Water Works Company, Inc."
LNC,Lincoln National Corporation
PRI,"Primerica, Inc."
AGCO,AGCO Corporation
VSEC,VSE Corporation
LITE,Lumentum Holdings Inc.
CYH,"Community Health Systems, Inc."
CLSK,"CleanSpark, Inc."
ONDK,On Deck Capital Inc
WCN,"Waste Connections, Inc."
FBP,First BanCorp.
MKC,"McCormick & Company, Incorporated"
IMTX,Immatics N.V.
CNFR,"Conifer Holdings, Inc."
ENB,Enbridge Inc.
ATH,Athene Holding Ltd.
FSS,Federal Signal Corporation
TSN,"Tyson Foods, Inc."
GNRS,Greenrose Acquisition Corp.
AVA,Avista Corporation
MMP,"Magellan Midstream Partners, L.P."
DMAC,DiaMedica Therapeutics Inc.
CMPI,"Checkmate Pharmaceuticals, Inc."
BIP,Brookfield Infrastructure Partners L.P.
WTS,"Watts Water Technologies, Inc."
SHAK,Shake Shack Inc.
CTB,Cooper Tire & Rubber Company
MVCD,"MVC Capital, Inc. 6.25% Senior "
EARN,Ellington Residential Mortgage REIT
HWC,Hancock Whitney Corporation
CMCSA,Comcast Corporation
KTH,Corts Trust For Peco Energy Capital Trust III
LBRDA,Liberty Broadband Corporation
KTN,Credit-Enhanced Corts Trust Aon
JBGS,JBG SMITH Properties
KTP,Corts Trust for J.C. Penney Debentures
HFBL,"Home Federal Bancorp, Inc. of Louisiana"
GLP,Global Partners LP
PFLT,PennantPark Floating Rate Capital Ltd.
ARWR,"Arrowhead Pharmaceuticals, Inc."
LLNW,"Limelight Networks, Inc."
IQI,Invesco Quality Municipal Income Trust
TEDU,"Tarena International, Inc."
PCTI,"PCTEL, Inc."
VECO,Veeco Instruments Inc.
GMZ,Goldman Sachs MLP Income Opportunities Fund
GNC,"GNC Holdings, Inc."
VKQ,Invesco Municipal Trust
IPOE,Social Capital Hedosophia Holdings Corp. V
AC,"Associated Capital Group, Inc."
KW,"Kennedy-Wilson Holdings, Inc."
STOR,STORE Capital Corporation
ISG,ING Groep N.V. PERP DBT 6.125
GOF,Guggenheim Strategic Opportunities Fund
HOV,"Hovnanian Enterprises, Inc."
ELC,"Entergy Louisiana, LLC COLLATERAL TR MT"
EW,Edwards Lifesciences Corporation
CIZN,Citizens Holding Company
GPM,Guggenheim Enhanced Equity Income Fund
SMP,"Standard Motor Products, Inc."
TMUS,"T-Mobile US, Inc."
ELU,"Entergy Louisiana, LLC 1ST MTG BD"
TBK,"Triumph Bancorp, Inc."
INFY,Infosys Limited
PCTY,Paylocity Holding Corporation
EMP,"Entergy Mississippi, Inc. 1M BD 66"
MCO,Moody's Corporation
PCF,High Income Securities Fund
MGEE,"MGE Energy, Inc."
USAT,"USA Technologies, Inc."
CTSO,Cytosorbents Corporation
ENJ,"Entergy Utility Group, Inc. 1ST MTG 5% 52"
CETV,Central European Media Enterprises Ltd.
ENO,"Entergy Utility Group, Inc. 1ST MTG BD 66"
ENS,EnerSys
UPWK,Upwork Inc.
AJXA,Great Ajax Corp. 7.25 CV SR NT 24
JPGB,JPMorgan Global Bond Opportunities ETF
HWKN,"Hawkins, Inc."
GSH,Guangshen Railway Company Limited
VPV,Invesco Pennsylvania Value Municipal Income Trust
GSK,GlaxoSmithKline plc
QTT,Qutoutiao Inc.
PDT,John Hancock Premium Dividend Fund
RCKY,"Rocky Brands, Inc."
CRVS,"Corvus Pharmaceuticals, Inc."
PZZA,"Papa John's International, Inc."
MORN,"Morningstar, Inc."
ZBRA,Zebra Technologies Corporation
SUNS,Solar Senior Capital Ltd.
TITN,Titan Machinery Inc.
DOOO,BRP Inc.
TREE,"LendingTree, Inc."
IPAR,"Inter Parfums, Inc."
TENB,"Tenable Holdings, Inc."
BGFV,Big 5 Sporting Goods Corporation
PRTA,Prothena Corporation plc
TTWO,"Take-Two Interactive Software, Inc."
DRQ,"Dril-Quip, Inc."
BAH,Booz Allen Hamilton Holding Corporation
WRTC,"Wrap Technologies, Inc."
PRNB,Principia Biopharma Inc.
GTLS,"Chart Industries, Inc."
ICPT,"Intercept Pharmaceuticals, Inc."
XOMA,XOMA Corporation
APPN,Appian Corporation
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF
VBTX,"Veritex Holdings, Inc."
SONA,"Southern National Bancorp of Virginia, Inc."
PIXY,"ShiftPixy, Inc."
VTNR,"Vertex Energy, Inc."
KALV,"KalVista Pharmaceuticals, Inc."
EXPI,"eXp World Holdings, Inc."
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF
CLFD,"Clearfield, Inc."
FTK,"Flotek Industries, Inc."
BLL,Ball Corporation
DPZ,"Domino's Pizza, Inc."
BHVN,Biohaven Pharmaceutical Holding Company Ltd.
KN,Knowles Corporation
JMEI,Jumei International Holding Limited
EPR,EPR Properties
XT,iShares Exponential Technologies ETF
EQC,Equity Commonwealth
MSVB,"Mid-Southern Bancorp, Inc."
WSO-B,"Watsco, Inc."
EQM,"EQM Midstream Partners, LP"
EQR,Equity Residential
BSMU,Invesco BulletShares 2030 Municipal Bond ETF
ERA,Era Group Inc.
ALNA,"Allena Pharmaceuticals, Inc."
ERJ,Embraer S.A.
VTA,Invesco Dynamic Credit Opportunities Fund
PHG,Koninklijke Philips N.V.
VTN,Invesco Trust for Investment Grade New York Municipals
CAPR,"Capricor Therapeutics, Inc."
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust
FTAI,Fortress Transportation and Infrastructure Investors LLC
ESI,Element Solutions Inc
GWR,Genesee & Wyoming Inc.
AAWW,"Atlas Air Worldwide Holdings, Inc."
CTSH,Cognizant Technology Solutions Corporation
PIY,Merrill Lynch Depositor Inc - PreferredPlus Trust Series CZN-1 CZN-1 TR CTF
LAZ,Lazard Ltd
GLOP,GasLog Partners LP
NGG,National Grid plc
NGL,NGL Energy Partners LP
GEOS,Geospace Technologies Corporation
JMIA,Jumia Technologies AG
MIXT,MiX Telematics Limited
NHF,NexPoint Strategic Opportunities Fund
GSAH,GS Acquisition Holdings Corp II
DFPHU,DFP Healthcare Acquisitions Corp.
JAG,Jagged Peak Energy Inc.
BX,The Blackstone Group Inc.
JBK,"Corporate Backed Trust Certificates, Goldman Sachs Capital I Securities-Backed Series 2004-6 04-6 A1 3.50"
X,United States Steel Corporation
WMS,"Advanced Drainage Systems, Inc."
INSI,Insight Select Income Fund
LMHA,"Legg Mason, Inc."
BKE,"The Buckle, Inc."
LGC,Legacy Acquisition Corp.
DIN,"Dine Brands Global, Inc."
SLCA,"U.S. Silica Holdings, Inc."
BEP,Brookfield Renewable Partners L.P.
JCP,"J. C. Penney Company, Inc."
EZT,"Entergy Texas, Inc."
MPLX,MPLX LP
PRNT,The 3D Printing ETF
UIS,Unisys Corporation
CHSP,
LHC,"Digital Media Solutions, Inc."
ARDC,"Ares Dynamic Credit Allocation Fund, Inc."
TPB,"Turning Point Brands, Inc."
ATHM,Autohome Inc.
CVEO,Civeo Corporation
T,AT&T Inc.
V,Visa Inc.
SHW,The Sherwin-Williams Company
CHRA,"Charah Solutions, Inc."
EQT,EQT Corporation
BK,The Bank of New York Mellon Corporation
O,Realty Income Corporation
HTY,John Hancock Investments - John Hancock Tax-Advantaged Global Shareholder Yield Fund
CMI,Cummins Inc.
GOLD,Barrick Gold Corporation
NMCI,Navios Maritime Containers L.P.
H,Hyatt Hotels Corporation
CARA,"Cara Therapeutics, Inc."
AWX,Avalon Holdings Corporation
HPP,"Hudson Pacific Properties, Inc."
NVGS,Navigator Holdings Ltd.
ED,"Consolidated Edison, Inc."
EE,El Paso Electric Company
LW,"Lamb Weston Holdings, Inc."
BGX,Blackstone / GSO Long-Short Credit Income Fund
BC,Brunswick Corporation
DOV,Dover Corporation
UTI,"Universal Technical Institute, Inc."
WTT,"Wireless Telecom Group, Inc."
TGLS,Tecnoglass Inc.
SLB,Schlumberger Limited
UTL,Unitil Corporation
CLH,"Clean Harbors, Inc."
CURI,CuriosityStream Inc.
1140.HK,Wealthking Investments Limited
RIV,"RiverNorth Opportunities Fund, Inc."
CCEP,Coca-Cola European Partners plc
CIL,VictoryShares International Volatility Wtd ETF
BKH,Black Hills Corporation
ENVA,"Enova International, Inc."
NFH,New Frontier Health Corporation
AA,Alcoa Corporation
ERF,Enerplus Corporation
AB,AllianceBernstein Holding L.P.
AT,Atlantic Power Corporation
AESE,Allied Esports Entertainment Inc.
JMPD,JMP Group LLC 7.25% SR NT 27
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V."
INST,"Instructure, Inc."
MCRN,
JEC,Jacobs Engineering Group Inc.
CASS,"Cass Information Systems, Inc."
NMR,"Nomura Holdings, Inc."
CASH,"Meta Financial Group, Inc."
IFFT,International Flavors & Fragran
CTHR,"Charles & Colvard, Ltd."
RMCF,"Rocky Mountain Chocolate Factory, Inc."
HGLB,Highland Global Allocation Fund
USAP,"Universal Stainless & Alloy Products, Inc."
ITACU,"Industrial Tech Acquisitions, Inc."
ICFI,"ICF International, Inc."
IHIT,Invesco High Income 2023 Target Term Fund
NOK,Nokia Corporation
GLL,ProShares UltraShort Gold
GB,Global Blue Group Holding AG
HCR,Hi-Crush Inc.
HDB,HDFC Bank Limited
JHI,John Hancock Investors Trust
EURN,Euronav NV
JHS,John Hancock Income Securities Trust
JHX,James Hardie Industries plc
HTFA,Horizon Technology Finance Corporation 6.25% NT 22
FAM,First Trust/Aberdeen Global Opportunity Income Fund
HEQ,John Hancock Hedged Equity & Income Fund
NMFX,New Mountain Finance Corporation
INXN,InterXion Holding N.V.
CYCC,"Cyclacel Pharmaceuticals, Inc."
EVTC,"EVERTEC, Inc."
GNK,Genco Shipping & Trading Limited
MNR,Monmouth Real Estate Investment Corporation
ANTE,AirNet Technology Inc.
IP,International Paper Company
NRT,North European Oil Royalty Trust
NSA,National Storage Affiliates Trust
ABC,AmerisourceBergen Corporation
HCP,
FELP,
HGH,"The Hartford Financial Services Group, Inc. DEB FIX/FLT 42"
HR,Healthcare Realty Trust Incorporated
LOR,Lazard World Dividend & Income Fund Inc.
FMBH,"First Mid Bancshares, Inc."
HL,Hecla Mining Company
RF,Regions Financial Corporation
FCT,First Trust Senior Floating Rate Income Fund II
MFL,BlackRock MuniHoldings Investment Quality Fund
UTZ,"Utz Brands, Inc."
AVAL,Grupo Aval Acciones y Valores S.A.
BTU,Peabody Energy Corporation
CFG,"Citizens Financial Group, Inc."
LPL,"LG Display Co., Ltd."
GEF,"Greif, Inc."
RCS,"PIMCO Strategic Income Fund, Inc."
BUP.PA,Biom'Up S.A.
ATU,
ZTR,Virtus Total Return Fund Inc.
FSM,Fortuna Silver Mines Inc.
ATCO,Atlas Corp.
ACRX,"AcelRx Pharmaceuticals, Inc."
GS,"The Goldman Sachs Group, Inc."
RRC,Range Resources Corporation
SBOW,"SilverBow Resources, Inc."
MUSA,Murphy USA Inc.
BWEN,"Broadwind, Inc."
ZTS,Zoetis Inc.
TPVG,TriplePoint Venture Growth BDC Corp.
CDAY,Ceridian HCM Holding Inc.
THG,"The Hanover Insurance Group, Inc."
IRM,Iron Mountain Incorporated
ACB,Aurora Cannabis Inc.
DLX,Deluxe Corporation
OMF,"OneMain Holdings, Inc."
MDLY,Medley Management Inc.
UNFI,"United Natural Foods, Inc."
TGT,Target Corporation
IRT,"Independence Realty Trust, Inc."
ARO.AX,Astro Resources NL
AIB.AX,Aurora Global Income Trust
COO.AX,Corum Group Limited
CGC.AX,Costa Group Holdings Limited
AKP.AX,Audio Pixels Holdings Limited
ACW.AX,Actinogen Medical Limited
AMS.AX,Atomos Limited
AMH.AX,Amcil Limited
AQC.AX,Australian Pacific Coal Limited
CDV.AX,Cardinal Resources Limited
3PL.AX,3P Learning Limited
CGC,Canopy Growth Corporation
BSR.AX,Bassari Resources Limited
BBN.AX,Baby Bunting Group Limited
AEE.AX,Aura Energy Limited
CTM.AX,Centaurus Metals Limited
AGR.AX,Aguia Resources Limited
BGL.AX,Bellevue Gold Limited
GNT,"GAMCO Natural Resources, Gold & Income Trust"
LSCC,Lattice Semiconductor Corporation
HNP,"Huaneng Power International, Inc."
CEFS,Saba Closed-End Funds ETF
WLH,William Lyon Homes
GOVXW,"GeoVax Labs, Inc."
LINX,Linx S.A.
CWBR,"CohBar, Inc."
NISN,"Nisun International Enterprise Development Group Co., Ltd"
HOS,"Hornbeck Offshore Services, Inc."
ZBK,Zions Bancorporation SUB NT FX/FLT 28
WAIR,
HPF,John Hancock Preferred Income Fund II
HPI,John Hancock Preferred Income Fund
E,Eni S.p.A.
LXP,Lexington Realty Trust
UPST,"Upstart Holdings, Inc."
I,Intelsat S.A.
HPS,John Hancock Preferred Income Fund III
ADBE,Adobe Inc.
BCAB,"BioAtla, Inc."
PRQR,ProQR Therapeutics N.V.
MUFG,"Mitsubishi UFJ Financial Group, Inc."
ALSK,"Alaska Communications Systems Group, Inc."
BMTC,Bryn Mawr Bank Corporation
CHCI,"Comstock Holding Companies, Inc."
LYG,Lloyds Banking Group plc
CAPAW,HighCape Capital Acquisition Corp.
BIO.B,
AHACW,Alpha Healthcare Acquisition Corp.
KWR,Quaker Chemical Corporation
AFB,AllianceBernstein National Municipal Income Fund
CL,Colgate-Palmolive Company
GPN,Global Payments Inc.
AFMD,Affimed N.V.
WEA,Western Asset Premier Bond Fund
SQNS,Sequans Communications S.A.
BHE,"Benchmark Electronics, Inc."
ZAYO,"Zayo Group Holdings, Inc."
RLGY,Realogy Holdings Corp.
ADM,Archer-Daniels-Midland Company
RGT,"Royce Global Value Trust, Inc."
KREF,KKR Real Estate Finance Trust Inc.
PLOW,"Douglas Dynamics, Inc."
VNE,"Veoneer, Inc."
PACD,Pacific Drilling S.A.
NCA,"Nuveen California Municipal Value Fund, Inc."
VGP.BR,VGP NV
RHI,Robert Half International Inc.
CHMI,Cherry Hill Mortgage Investment Corporation
CAPA,HighCape Capital Acquisition Corp.
GVA,Granite Construction Incorporated
CKH,Seacor Holdings Inc.
TNET,"TriNet Group, Inc."
RM,Regional Management Corp.
GPX,GP Strategies Corporation
HSTO,Histogen Inc.
PACK,Ranpak Holdings Corp.
