Country,Date,Sector,Target,Deal Value (USD/MLNS),Transaction Type,Investor(s),Investors_symbol,Manufact_Index,Non_Manufact_Index,currentRatio_Investor,currentRatioafter_1_year_Investor,currentRatioafter_2_year_Investor,currentRatioafter_3_year_Investor,debtEquityRatio_Investor,debtEquityRatioafter_1_year_Investor,debtEquityRatioafter_2_year_Investor,debtEquityRatioafter_3_year_Investor,dividendPaidAndCapexCoverageRatio_Investor,dividendPaidAndCapexCoverageRatioafter_1_year_Investor,dividendPaidAndCapexCoverageRatioafter_2_year_Investor,dividendPaidAndCapexCoverageRatioafter_3_year_Investor,ebitPerRevenue_Investor,ebitPerRevenueafter_1_year_Investor,ebitPerRevenueafter_2_year_Investor,ebitPerRevenueafter_3_year_Investor,effectiveTaxRate_Investor,effectiveTaxRateafter_1_year_Investor,effectiveTaxRateafter_2_year_Investor,effectiveTaxRateafter_3_year_Investor,enterpriseValueMultiple_Investor,enterpriseValueMultipleafter_1_year_Investor,enterpriseValueMultipleafter_2_year_Investor,enterpriseValueMultipleafter_3_year_Investor,priceEarningsRatio_Investor,priceEarningsRatioafter_1_year_Investor,priceEarningsRatioafter_2_year_Investor,priceEarningsRatioafter_3_year_Investor,priceToBookRatio_Investor,priceToBookRatioafter_1_year_Investor,priceToBookRatioafter_2_year_Investor,priceToBookRatioafter_3_year_Investor,priceToFreeCashFlowsRatio_Investor,priceToFreeCashFlowsRatioafter_1_year_Investor,priceToFreeCashFlowsRatioafter_2_year_Investor,priceToFreeCashFlowsRatioafter_3_year_Investor,priceToSalesRatio_Investor,priceToSalesRatioafter_1_year_Investor,priceToSalesRatioafter_2_year_Investor,priceToSalesRatioafter_3_year_Investor
United Kingdom,2000-01-17,Life Science,SmithKline Beecham Ltd.,75700.0,Merger,"GlaxoSmithKline plc, 980 Great West Road, Brentford, TW8 9GS, United Kingdom, +44 20 8047 5000, www.gsk.com",GSK,56.7,67.0,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,7.2330827067669174,,,,,,,,,,,,,,,,
United States,2000-01-12,Semiconductors,"Etec Systems, Inc.",1800.0,Add-on Acquisition,"Applied Materials, Inc., 3050 Bowers Avenue, P.O. Box 58039, Santa Clara, California, 95052, United States, (408) 727-5555, www.appliedmaterials.com",AMAT,56.7,67.0,3.202536231884058,5.076320939334638,5.3784143904063955,5.101157830591103,0.484375,0.29209938214802156,0.27493765586034913,0.278135845314824,,,,,0.3082392304475115,0.15034726950837532,0.06736467799288819,-0.04735313826222917,0.29986431478968795,0.2980072463768116,0.21114369501466276,0.2943820754716981,7.465924658727854,18.682989985693848,24.028117044793486,237.05748039152135,12.928865600775193,52.97208661417323,79.26827732342007,-202.45426845637584,3.7563596002252257,3.537507558827396,2.658748952618454,3.738929846306396,21.03679826566811,33.1728550295858,1366.8696538461538,56.22681453867661,2.7901692388122123,3.664690181124881,4.212399565389174,6.737924056287692
United States,2000-01-01,Media,"Sirius XM Holdings, Inc.",1591.0,Stake Purchase,"The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",BX,56.7,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-01-11,Financial Services,"UST, Corp.",1412.0,Add-on Acquisition,"Citizens Financial Group, Inc., One Citizens Plaza, Providence, Rhode Island, 02903, United States, (401) 456-7000, www.citizensbank.com",CFG,56.7,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-01-31,Software,"Interleaf, Inc.",851.0,Add-on Acquisition,"BroadVision, Inc., 460 Seaport Court Suite 102, Redwood City, California, 94063, United States, (650) 331-1000, www.broadvision.com",BVSN,56.7,67.0,2.6749418153607447,1.765169424743893,1.043613707165109,1.007085020242915,0.13246804716139898,0.9320531757754801,4.771634615384615,23.3875,,,,,-0.3348634935974873,-3.4114519427402863,-1.4055220017256256,-0.39727582292849034,-0.16594516594516595,-0.0025176837309675098,-0.04665438919582566,-0.011428571428571429,48.699069828376786,-0.9627392773057631,-0.42612185333819774,-6.200902934537246,-23.925742574257427,-0.7619275379648452,-0.7853372434017595,-6.060563380281691,3.8307738036262755,3.137370753323486,3.21875,26.893749999999997,-317.1780147662018,-4.770532305158344,-1.3352612684483447,-9.253763440860215,9.341386808407828,2.6061349693251534,1.1553062985332183,2.44211123723042
United States,2000-01-01,Financial Services,First National Bank of Clovis,23.2,Add-on Acquisition,"Heartland Financial USA, Inc., 1398 Central Avenue, Dubuque, Iowa, 52001, United States, (563) 589-2100, www.htlf.com",HTLFP,56.7,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-01-18,Marketing,Pacific Advantage International Ltd.,4.0,Add-on Acquisition,"Juniper Networks, Inc., 1133 Innovation Way, Sunnyvale, California, 94089, United States, (408) 745-2000, www.juniper.net",JNPR,56.7,67.0,6.24537037037037,4.652892561983471,2.8140495867768593,2.374570446735395,1.8808219178082193,1.3961885656970914,0.827393431167016,0.5435339308578745,,,,,0.3420935412026726,0.018602029312288614,-0.21079597438243367,0.08411747932706017,0.3580729166666667,1.8181818181818181,-0.0390625,0.33559322033898303,113.41436252858543,26.536040082644625,-36887.64894736842,63.04934627808613,230.7108611899932,-342.8639820895522,-23.026956140350876,265.4727566326531,46.74265256164383,4.608201965897693,1.9261541928721175,6.662312458386684,145.7588055104656,88.8660998065764,-81.79010830860534,65.36766369346734,50.66389958426132,5.179681352874859,5.0435986276303755,14.836800769888795
United States,2000-02-16,Technology Hardware,"Growth Networks, Inc.",355.0,Add-on Acquisition,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",CSCO,55.8,66.5,2.138183217859892,1.585350790513834,2.08155223880597,1.617434289848083,0.24051779446729818,0.2993362831858407,0.3189209938581798,0.3238788397730922,,,,,0.2294484361792054,-0.03920513165567667,0.14327253502511234,0.26554719779637675,0.38567810269399033,-0.16018306636155608,0.3014760147601476,0.2862557350887692,58.54092502375673,60.39501829896907,13.055904512765192,14.884581954329775,140.12796124437781,-97.24464339250493,43.37080871632329,29.15221372275014,14.109574691474506,3.63591697640118,2.8650523764656612,3.7213821649006387,81.08032977662113,23.950951760991014,20.806117815509378,23.061379770064118,19.751764613271344,4.4231852330327905,4.34052026962728,5.525300386693505
United States,2000-02-02,Communications,Utilicom Networks LLC,252.0,"Buyout (LBO, MBO, MBI)","The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",BX,55.8,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-02-01,Media,Western Integrated Networks,828.0,"Buyout (LBO, MBO, MBI)","The Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",BX,55.8,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-02-01,Communications,"Knology, Inc.",559.0,Stake Purchase,"Ballast Point Ventures (PE), 401 East Jackson Street, Suite 2300, Tampa, Florida, 33602, United States, (727)567-1500, www.ballastpointventures.com\nThe Blackstone Group Inc. (PE), 345 Park Avenue, New York, New York, 10154-0191, United States, (212)583-5000, www.blackstone.com",BX,55.8,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-03-30,Information Technology,"SightPath, Inc.",800.0,Add-on Acquisition,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",CSCO,54.9,60.5,2.138183217859892,1.585350790513834,2.08155223880597,1.617434289848083,0.24051779446729818,0.2993362831858407,0.3189209938581798,0.3238788397730922,,,,,0.2294484361792054,-0.03920513165567667,0.14327253502511234,0.26554719779637675,0.38567810269399033,-0.16018306636155608,0.3014760147601476,0.2862557350887692,58.54092502375673,60.39501829896907,13.055904512765192,14.884581954329775,140.12796124437781,-97.24464339250493,43.37080871632329,29.15221372275014,14.109574691474506,3.63591697640118,2.8650523764656612,3.7213821649006387,81.08032977662113,23.950951760991014,20.806117815509378,23.061379770064118,19.751764613271344,4.4231852330327905,4.34052026962728,5.525300386693505
United States,2000-03-20,Distribution,US Foods Holding Corp.,3600.0,Add-on Acquisition,"Koninklijke Ahold Delhaize N.V., Provincialeweg 11, Zaandam, 1506 MA, Netherlands, +31 88 659 5100, www.aholddelhaize.com",AD.AS,54.9,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2000-03-16,Software,InfoGear Technology Corp.,301.0,Add-on Acquisition,"Cisco Systems, Inc., 170 West Tasman Drive, San Jose, California, 95134, United States, (408) 526-7209, www.cisco.com",CSCO,54.9,60.5,2.138183217859892,1.585350790513834,2.08155223880597,1.617434289848083,0.24051779446729818,0.2993362831858407,0.3189209938581798,0.3238788397730922,,,,,0.2294484361792054,-0.03920513165567667,0.14327253502511234,0.26554719779637675,0.38567810269399033,-0.16018306636155608,0.3014760147601476,0.2862557350887692,58.54092502375673,60.39501829896907,13.055904512765192,14.884581954329775,140.12796124437781,-97.24464339250493,43.37080871632329,29.15221372275014,14.109574691474506,3.63591697640118,2.8650523764656612,3.7213821649006387,81.08032977662113,23.950951760991014,20.806117815509378,23.061379770064118,19.751764613271344,4.4231852330327905,4.34052026962728,5.525300386693505
